Obj	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
Normal-like	7.46052939744806	3.79194471613733	-4.47355938820607	-0.965036537836935	-0.601057765617743	1.36241696046978	-1.56159634534583	0.169414216341504	-1.86477317363269	0.369572363928955	-0.610732659214222	0.387008785447934	0.767176386346754	0.32289094850238	-0.0773709742411254
Normal-like	6.67185530671567	5.02304445116666	-4.25559863249302	-1.92132844165428	0.0771650212845543	0.507610385288195	-0.815708194541704	-0.00370999271999239	-0.963461896168082	0.0124880115214393	-0.437766602871644	-0.446482188535781	0.21188994791198	-0.234265787854668	0.640046339169897
Basal	2.51086422539765	1.60788916406929	2.70598813473282	-0.169116387259677	-1.7908367614749	-1.22871725182517	0.10086438850683	-0.670734331109575	0.0821266283669653	-0.38857340277579	-0.94598235724784	0.323577886322474	0.0419132236306722	0.230866471088245	0.255259939533651
Basal	3.18957030961857	2.05810508569099	3.23511672832864	0.61010536283299	-1.09403220614521	-1.4225024604438	-1.23492613373752	-0.558482376483716	0.484157132104656	-0.0629486099105006	-0.685611809592637	-0.070207977320901	-0.0455302356722843	0.00595270491164443	-0.0604115494470532
Basal	2.7720707511156	1.66449623323654	3.09452385356612	0.449852234832637	-1.63491780845276	-1.42782158592927	-0.439484137102392	-0.466928655603311	0.211132899110023	-0.158379882754279	-0.966568344514625	-0.0566045164850199	0.253063373776373	-0.0662916952772026	-0.129146493693477
Luminal	-4.04703874072406	-0.299755052948327	0.362174501810777	1.84328133003905	-0.932146615830222	1.5599117598671	-0.961738412769484	-1.0304000540035	0.150403089049439	0.235209126999547	-0.31359014865675	-0.464859847723373	-1.4150557484284	-0.292535124400366	0.205886960910699
Luminal	-3.73474117567604	-0.420618127796531	2.66084340338178	-3.56816592971176	2.22857511154259	0.110130129988348	0.945771018085481	0.675791402050805	0.390092308241255	0.618279516042467	-0.469697944147133	0.156740562995934	0.135963089649963	0.728300016400428	0.246975035577405
Luminal	-6.3108079639808	-0.180179339910161	-1.84439075116298	2.83381947938668	-0.54539993954557	1.38203894299108	0.316278660618149	0.696315236575387	-0.494093093414199	-0.25583211708154	-0.0284163945718213	0.417881729943262	-0.0284896746993556	0.682910927331097	0.0359470675744928
Luminal	-6.86593020328279	-1.25096182681999	-1.44776319257718	0.93612838491228	-1.01625654976676	-0.236240785026885	-1.17268660775567	-0.830359714006476	-0.230915101873443	0.0554103176185512	-0.72780522564469	-0.418274194371908	0.496331582414326	-0.26665939800423	0.0881510921940847
Claudin-low	9.76510978499302	-8.42273512744967	-0.300770546567501	2.46238289409371	2.23116705356462	-0.548472257042383	1.32656868806661	-1.25209311515722	-0.75202631550341	0.330687439166433	0.429647603132477	0.401423765783138	-0.262791043544234	0.265610994352664	-0.651176562740575
Luminal	-3.60271088159992	-0.267891579575981	2.20932614825866	-1.06898456346279	1.54591420557504	2.4499749618186	-0.811121000981754	-0.851530720293862	-0.420419808741769	-0.617451838033883	0.452727945160826	-0.225834230525128	-0.59801906593407	0.0996389092044624	-0.444705637052369
Luminal	-4.5160870552455	-0.0868608328822458	0.903776751220243	-1.88249356143527	0.893039143397385	-0.34505582750634	0.903884959488419	1.02594959162233	0.127327742489804	-0.450792841001055	-0.378378694801498	-0.218757499506437	-0.391203092556727	-0.808617274489444	-0.689955382213392
Luminal	-3.55226720216346	0.642058174972843	-1.41455557632188	-1.41153587335294	0.947318397764209	0.781334346554874	1.08156000918353	1.3496954581447	-0.518450750322859	-0.497398173898116	-0.0992751816668256	0.581369436137325	-0.487572908721478	-0.3488484841613	0.289594150460411
Luminal	-7.85768940354647	-1.55588411991124	-1.69398714418536	-0.349476384906686	0.146771811441842	-0.76133810385098	-0.172360429149824	0.822347637906725	-0.804681459413342	-0.61165359744397	-0.389085620999583	0.0705825624430284	-0.0722301833421538	-0.514001657258407	0.245351690969108
Basal	3.57256371558551	2.59014452510386	1.26288180624485	0.645814620461005	-1.82342343163999	0.629475993006637	1.70382751759054	0.0055986038139062	0.6828066356299	-1.04148356289049	-0.780599763504702	0.253084701728156	-0.367943577062114	0.364844418551476	0.0725919952025553
Claudin-low	8.86557147076199	-7.33449909235948	-0.0702563614086461	1.70324476562566	1.29199756482309	-0.481013699776449	1.02298394899601	0.212207378920883	-0.458448647072725	0.551150021857235	-0.255756202353562	-0.209872639603166	0.762459480059292	-0.521711758727695	0.149103556901601
Luminal	-7.64331944057241	-1.06123924423	-1.54409778772532	1.85394551890996	-0.905837839130184	0.0459189200443473	-0.685629371208883	-0.379637252443811	-0.493196552126872	-0.636167033502829	0.0500475815950497	-0.914332799641018	0.32533711851932	0.0786290713569334	0.0716536266531972
Luminal	-5.07581649563216	-2.2557145775458	-0.945832503571556	-0.970526714318422	-0.908504597171467	-0.0798311203286745	-1.17293549184742	-1.2869143028952	0.301331269506146	-1.16332131577056	0.260913783782158	1.42217810481601	0.501221254861328	-0.151358760215771	-0.0519314964505965
Basal	2.37367733272476	2.73027863843642	3.9590298356091	-0.108912203651121	-2.26944780611787	-0.990327261183108	0.269478149196473	-1.97440812059499	-1.58383238115303	-0.522067705245024	1.08104212367208	-1.42041213196489	-0.287332977357751	0.357888002609406	0.358280437813366
Basal	5.29549358304785	4.76719265607706	-1.86195387281469	0.380778745255062	-1.92265647243732	1.4512417446167	1.84025132569779	-0.414001853267655	1.92618072446971	0.439073219775432	-0.264003297601822	-0.680096950112869	0.629118028120791	0.0196865865921467	-0.245702062974726
Basal	3.95548349477786	3.9085122458309	-0.48442546654785	1.68290171216417	-0.679040564747307	1.10905936437196	1.55913918291441	0.762125027751451	-0.0820030441438011	-0.70077007439359	0.227208587228383	-0.00722407752143903	0.819494104125617	0.213497597705467	-0.136536001385575
Basal	2.01316760411357	3.81032001483473	2.40728621638053	2.13990279594017	0.0345429449663418	-1.42418241337946	-0.793082674283382	1.3838200961747	0.143196429945007	-0.408294870352349	1.21177881723735	0.717069944464346	0.745827975103553	-0.292423516544238	0.0129079722628227
Luminal	-2.14460232023342	0.757565245561803	-3.01100908830479	2.76005604183289	4.42686198033149	-1.00273819257393	-0.214894269041527	-0.113430503462591	1.40136056619046	-0.389847128573166	0.359316346940802	-0.854368340047536	-0.0533056254914216	-0.274493097745889	0.340467442699453
Basal	2.85637207350854	4.47616824189818	0.281979472699253	1.12084710626278	-1.00131087818848	0.364992845364685	3.14406164816943	1.84219151036524	-0.855867556375732	0.338448475842342	0.251462078956962	-0.736279008867286	-0.0109954482815596	0.143298960072994	-0.390422282827661
Claudin-low	8.12220485495713	-6.02317370070653	1.55477848135235	0.523851449644131	-1.90281628877261	1.32304134135842	-0.811798352763744	1.45060687822683	0.205220084385363	1.34887336239027	-0.319332955452803	0.00271274624830828	0.337329477364928	-0.585516290918258	0.371598338949117
Basal	1.85656547281815	3.60712821910669	3.40053784824358	4.2654550577563	2.67033365835059	-0.941128274206902	-3.19472609025421	1.53542428864984	0.430432658334742	0.746679633232361	0.370039285737109	0.236844037133768	0.129640282324712	0.211871486016161	-0.251566382526163
Claudin-low	9.6035471154834	-7.65477081411552	-1.00081000970759	0.783979157544032	1.41582127880894	0.150204147071513	0.924206303062817	-0.292074479441839	0.273447097157337	-1.43780221482016	-0.313517174661206	0.334672635411359	0.136539636758693	0.269404645241111	0.111265590487531
Basal	3.44292124379918	1.38004759704596	2.65866859739389	1.26829539828262	-3.10959238128248	-0.114035515960083	0.469090889598985	-1.20605442938264	-0.0156896245172248	0.0661577146064963	0.335355565386773	1.2421891591448	-0.396787522355656	-0.203607291079638	-0.570934061990951
Luminal	-4.26920746723577	-1.16827118592004	0.374305897708919	-2.01695261144934	-0.288505040126919	-0.494247317401248	-0.0728498929189755	-0.462330972596963	0.387402360780715	-0.498425706298235	0.317662003935629	0.648455342952155	0.374153002680629	0.000665847613811325	-0.147036803070772
Normal-like	8.357564919751	2.04057279843999	-4.63300467270128	0.479769966923395	1.81720819539753	-0.945266591299753	0.649067222553578	-2.18507544048392	-0.879243213591446	0.932800565823885	-0.0646975117772453	0.0847236042926976	-0.757392183329998	0.0188682977255581	-0.502887007738183
Normal-like	5.94655291117256	3.44875141169623	-3.93369032562724	-1.7166098648844	-0.26888428004567	-0.565658845242645	-2.23789237294042	0.887696893571226	1.48046283040241	0.544089472738106	-0.78582026342258	-0.278055782108994	-0.288077817808041	0.517558688534924	-0.576871547155426
Normal-like	7.9005194420792	3.08440568537138	-4.19178668934924	-2.13713006303229	0.361592068779916	-0.172731877496142	-1.05422858764299	-0.468883658820119	-0.300163076471634	-0.487076540400335	0.861528236159826	0.78306508123707	-0.539031073621606	-0.414546462912759	0.0959144855521377
Luminal	-5.21291310112353	-0.407887880319433	0.965924333032703	1.61917272031657	0.321307700946336	2.57792662567425	-0.493839394053021	-0.803282164484966	0.191356101193404	0.518239163435991	0.506957730820577	0.204696830407317	-0.168089172790523	0.9105115277037	-0.101947800066348
Luminal	-3.55651063880168	-0.00580256129169446	1.06673843490246	1.648166021931	0.364808698798871	2.39456697709277	-0.660118807751192	-0.564381936625652	0.127624868202956	0.0126578977804373	-1.23317676511998	0.813140566220779	-0.254986195892445	-0.406493666903808	0.175394833654932
Luminal	-7.32813820111946	-0.644605807457547	-2.07127630422196	0.957902630163446	-1.57010911251354	-1.65774272263838	0.760857074616349	0.318222478832384	-0.105603967530489	0.670579275553899	0.848332612105615	0.278830230641118	0.4813783159305	-0.705152468032907	-0.0525048103964143
Claudin-low	6.14258744911653	-6.90155695389341	-1.06786348598119	-1.25705314577014	-2.83855546544333	0.593088866054896	-0.964031583179091	1.20356307135574	1.13771284034993	0.562932243296068	1.04202250176327	-0.40378882344742	-0.470945175921029	0.280689702458972	0.19722758485619
Luminal	-6.33138909394941	0.128814867186107	-3.94808338718204	0.584617947932495	-0.847771999420713	1.31616146156034	0.867259067970866	0.108181173024853	1.46248504356149	-0.0643592367970806	1.36163878682275	0.370416553425652	-8.86878365992105e-05	0.545640606671243	0.52505770896063
Luminal	-3.19807867768365	1.14705998239679	1.97500212278289	0.5806998985673	1.37243595165777	2.29386009035296	-0.00623154000442672	-0.378824472849041	-0.790178253690138	0.357257275302169	-0.386888836474711	0.154634179163359	0.416744396569683	-0.0645597474520986	0.392055163980591
Basal	2.58654117714155	2.9227640441752	2.47884713546134	-0.370284508860549	1.83076652435922	-0.726684691799421	-1.45332446476716	1.73184243030207	-0.832289223882333	-0.434859559771771	0.761484111790397	-0.253901386081066	-0.413066134158727	0.140422960637496	-0.0569353311931285
Luminal	-2.39994556972922	-0.62740939704597	2.80397941868204	-3.51619605668153	2.19066147365172	0.0839083191841516	1.06310074363243	1.01265516492624	-0.52973029668624	1.33920050223212	-0.267507447334929	0.676106996711558	0.169707919753818	0.826566813008735	0.121721539214672
Claudin-low	8.4487539016164	-6.75238145905159	1.62845601199796	-2.19284136915985	-1.25348789710183	1.08720027742396	-1.37562128330242	1.41665186527212	-0.134377438430086	-1.22223517545466	0.0108433631273421	-0.945239070028052	-0.179531048685052	0.0465313213783041	0.111054708135154
Basal	4.930685960223	1.72111578631707	0.95556959952959	-0.155023135138431	2.72557946902667	-2.87325610729769	0.963744916586425	-1.35189095965902	1.2204543311982	-0.788636657852836	-0.667039468630755	-0.128239378898708	-0.103626512884177	0.303659066714059	0.72709674592513
Luminal	-3.55168118896297	0.919907709941354	1.16279372022794	-1.43798766907284	2.00507958748608	2.56433376674316	0.120922113518946	-0.164173038150591	0.27663025097157	-1.312148421617	0.314664689698457	-0.916493605447291	0.575132830594012	-0.415898828145978	-0.596505944898564
Basal	3.82430672404468	3.27057741002288	1.28019063564135	-1.52938013224419	-0.0690877454220764	-1.25543274036429	1.26399884146396	1.18418233533912	0.00369780846057663	-0.109110715190668	0.807611260512458	0.551722301049663	-0.655962956417668	-0.569079086864262	0.391667486185977
Luminal	0.8513725270064	1.76671306316357	2.39367003961512	-2.59864133688244	1.29055209014285	2.28569986579064	0.230747309733421	-1.55348522722463	0.983184990823109	1.25059763141205	0.360862722418717	-0.0517187380651181	0.0448101719632775	-0.920936303852212	-0.0504323472421204
Luminal	-3.81337403054335	-1.20623058394366	0.84358692495063	-1.75953393100599	0.47464997268408	-1.03540582766473	-0.205064981626314	-1.67005490358512	-0.274689812536423	0.437460435775968	0.416564373575538	-0.258526680967166	1.12259732994161	0.0984419867959256	-0.0245625277531987
Luminal	-4.56336344047032	-1.76903205104033	-0.00581643820423665	-2.62713793308898	-1.29079500415136	-2.06163179316919	-0.556462401096242	-1.40966267650848	0.280404089825187	0.939251976362291	0.726426948810993	-0.273492019217418	0.135063346235458	0.14150024895568	-0.0896478440855698
Luminal	-8.88940615632809	-3.16506632012006	-2.3072876357951	-1.49712192235952	-0.591380144266905	-2.18707692833039	-0.337651369714051	0.879039814574355	-0.11211508702811	-0.722137964320615	-0.524773035553226	-0.14161085561723	0.0206393016613333	0.495930178092837	-0.783324252664592
Luminal	-5.97811734578988	-0.720080956734052	-0.201188889714783	0.69979462273492	-0.634100692555311	-1.01165930458054	0.828709240489428	1.15787334968589	0.181521887524233	0.326684860643406	-0.847449605526699	0.013255875274502	-0.423852827181063	-0.444690994991011	-0.353993978022046
Luminal	-7.2866277138001	-0.975605966192482	-1.05272317985097	0.548493805718304	-0.363052531188719	-1.04523357714105	0.596956961172619	0.718093695482393	-0.240557636343345	0.988647095824119	-0.0854009865272243	-0.561564916113014	-0.3756019672868	0.149308479120082	-0.0283678652119273
